symbol,name,sector,hq,tier,fetched_at
AA,Alcoa,Materials,"Pittsburgh, Pennsylvania",sp400,2026-04-20T01:14:00+00:00
AAL,American Airlines Group,Industrials,"Fort Worth, Texas",sp400,2026-04-20T01:14:00+00:00
AAON,AAON,Industrials,"Tulsa, Oklahoma",sp400,2026-04-20T01:14:00+00:00
ACI,Albertsons,Consumer Staples,"Boise, Idaho",sp400,2026-04-20T01:14:00+00:00
ACM,AECOM,Industrials,"Dallas, Texas",sp400,2026-04-20T01:14:00+00:00
ADC,Agree Realty,Real Estate,"Bloomfield Hills, Michigan",sp400,2026-04-20T01:14:00+00:00
AEIS,Advanced Energy,Information Technology,"Denver, Colorado",sp400,2026-04-20T01:14:00+00:00
AFG,American Financial Group,Financials,"Cincinnati, Ohio",sp400,2026-04-20T01:14:00+00:00
AGCO,AGCO,Industrials,"Duluth, Georgia",sp400,2026-04-20T01:14:00+00:00
AHR,American Healthcare REIT,Real Estate,"Irvine, California",sp400,2026-04-20T01:14:00+00:00
AIT,Applied Industrial Technologies,Industrials,"Cleveland, Ohio",sp400,2026-04-20T01:14:00+00:00
ALGM,Allegro MicroSystems,Information Technology,"Manchester, New Hampshire",sp400,2026-04-20T01:14:00+00:00
ALK,Alaska Air Group,Industrials,"SeaTac, Washington",sp400,2026-04-20T01:14:00+00:00
ALLY,Ally Financial,Financials,"Detroit, Michigan",sp400,2026-04-20T01:14:00+00:00
ALV,Autoliv,Consumer Discretionary,"Stockholm, Sweden",sp400,2026-04-20T01:14:00+00:00
AM,Antero Midstream,Energy,"Denver, Colorado",sp400,2026-04-20T01:14:00+00:00
AMG,Affiliated Managers Group,Financials,"West Palm Beach, Florida",sp400,2026-04-20T01:14:00+00:00
AMH,American Homes 4 Rent,Real Estate,"Las Vegas, Nevada",sp400,2026-04-20T01:14:00+00:00
AMKR,Amkor Technology,Information Technology,"Tempe, Arizona",sp400,2026-04-20T01:14:00+00:00
AN,AutoNation,Consumer Discretionary,"Fort Lauderdale, Florida",sp400,2026-04-20T01:14:00+00:00
ANF,Abercrombie & Fitch,Consumer Discretionary,"New Albany, Ohio",sp400,2026-04-20T01:14:00+00:00
APG,APi Group,Industrials,"New Brighton, Minnesota",sp400,2026-04-20T01:14:00+00:00
APPF,AppFolio,Information Technology,"Goleta, California",sp400,2026-04-20T01:14:00+00:00
AR,Antero Resources,Energy,"Denver, Colorado",sp400,2026-04-20T01:14:00+00:00
ARMK,Aramark,Consumer Discretionary,"Philadelphia, Pennsylvania",sp400,2026-04-20T01:14:00+00:00
ARW,Arrow Electronics,Information Technology,"Centennial, Colorado",sp400,2026-04-20T01:14:00+00:00
ARWR,Arrowhead Pharmaceuticals,Health Care,"Pasadena, California",sp400,2026-04-20T01:14:00+00:00
ASB,Associated Bank,Financials,"Green Bay, Wisconsin",sp400,2026-04-20T01:14:00+00:00
ASH,Ashland Global,Materials,"Wilmington, Delaware",sp400,2026-04-20T01:14:00+00:00
ATI,ATI Inc.,Industrials,"Dallas, Texas",sp400,2026-04-20T01:14:00+00:00
ATR,AptarGroup,Materials,"Crystal Lake, Illinois",sp400,2026-04-20T01:14:00+00:00
AVAV,AeroVironment,Industrials,"Arlington County, Virginia",sp400,2026-04-20T01:14:00+00:00
AVNT,Avient,Materials,"Avon Lake, Ohio",sp400,2026-04-20T01:14:00+00:00
AVT,Avnet,Information Technology,"Phoenix, Arizona",sp400,2026-04-20T01:14:00+00:00
AVTR,Avantor,Health Care,"Radnor, Pennsylvania",sp400,2026-04-20T01:14:00+00:00
AXTA,Axalta,Materials,"Philadelphia, Pennsylvania",sp400,2026-04-20T01:14:00+00:00
AYI,Acuity Brands,Industrials,"Atlanta, Georgia",sp400,2026-04-20T01:14:00+00:00
BAH,Booz Allen Hamilton,Industrials,"McLean, Virginia",sp400,2026-04-20T01:14:00+00:00
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",sp400,2026-04-20T01:14:00+00:00
BC,Brunswick,Consumer Discretionary,"Mettawa, Illinois",sp400,2026-04-20T01:14:00+00:00
BCO,Brink's,Industrials,"Richmond, Virginia",sp400,2026-04-20T01:14:00+00:00
BDC,Belden Inc.,Information Technology,"St. Louis, Missouri",sp400,2026-04-20T01:14:00+00:00
BHF,Brighthouse Financial,Financials,"Charlotte, North Carolina",sp400,2026-04-20T01:14:00+00:00
BILL,Bill Holdings,Information Technology,"San Jose, California",sp400,2026-04-20T01:14:00+00:00
BIO,Bio-Rad Laboratories,Health Care,"Hercules, California",sp400,2026-04-20T01:14:00+00:00
BJ,BJ's Wholesale Club,Consumer Staples,"Marlborough, Massachusetts",sp400,2026-04-20T01:14:00+00:00
BKH,Black Hills Corporation,Utilities,"Rapid City, South Dakota",sp400,2026-04-20T01:14:00+00:00
BLD,TopBuild Corp.,Consumer Discretionary,,sp400,2026-04-20T01:14:00+00:00
BLKB,Blackbaud,Information Technology,"Charleston, South Carolina",sp400,2026-04-20T01:14:00+00:00
BMRN,BioMarin Pharmaceutical,Health Care,"San Rafael, California",sp400,2026-04-20T01:14:00+00:00
BRBR,BellRing Brands,Consumer Staples,,sp400,2026-04-20T01:14:00+00:00
BRKR,Bruker,Health Care,"Billerica, Massachusetts",sp400,2026-04-20T01:14:00+00:00
BROS,Dutch Bros Inc.,Consumer Discretionary,"Tempe, Arizona",sp400,2026-04-20T01:14:00+00:00
BRX,Brixmor Property Group,Real Estate,"New York City, New York",sp400,2026-04-20T01:14:00+00:00
BSY,Bentley Systems,Information Technology,"Exton, Pennsylvania",sp400,2026-04-20T01:14:00+00:00
BURL,Burlington Stores,Consumer Discretionary,"Burlington, New Jersey",sp400,2026-04-20T01:14:00+00:00
BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",sp400,2026-04-20T01:14:00+00:00
BWXT,BWX Technologies,Industrials,"Lynchburg, Virginia",sp400,2026-04-20T01:14:00+00:00
