symbol,name,sector,hq,tier,fetched_at
AAMI,Acadian Asset Management Inc.,Financials,"Boston, Massachusetts",sp600,2026-04-20T01:14:00+00:00
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,"Raleigh, North Carolina",sp600,2026-04-20T01:14:00+00:00
AAT,American Assets Trust,Real Estate,"San Diego, California",sp600,2026-04-20T01:14:00+00:00
ABCB,Ameris Bancorp,Financials,"Atlanta, Georgia",sp600,2026-04-20T01:14:00+00:00
ABG,Asbury Automotive Group,Consumer Discretionary,"Duluth, Georgia",sp600,2026-04-20T01:14:00+00:00
ABM,"ABM Industries, Inc.",Industrials,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
ABR,Arbor Realty Trust,Financials,"Uniondale, New York",sp600,2026-04-20T01:14:00+00:00
ACA,"Arcosa, Inc.",Industrials,"Dallas, Texas",sp600,2026-04-20T01:14:00+00:00
ACAD,Acadia Pharmaceuticals,Health Care,"San Diego, California",sp600,2026-04-20T01:14:00+00:00
ACHC,Acadia Healthcare,Health Care,"Franklin, Tennessee",sp600,2026-04-20T01:14:00+00:00
ACIW,ACI Worldwide,Information Technology,"Miami, Florida",sp600,2026-04-20T01:14:00+00:00
ACLS,"Axcelis Technologies, Inc.",Information Technology,"Beverly, Massachusetts",sp600,2026-04-20T01:14:00+00:00
ACMR,"ACM Research, Inc.",Information Technology,"Fremont, California",sp600,2026-04-20T01:14:00+00:00
ACT,"Enact Holdings, Inc.",Financials,"Raleigh, North Carolina",sp600,2026-04-20T01:14:00+00:00
ADAM,"Adamas Trust, Inc.",Real Estate,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
ADEA,"Adeia, Inc.",Information Technology,"San Jose, California",sp600,2026-04-20T01:14:00+00:00
ADMA,"ADMA Biologics, Inc.",Health Care,"Ramsey, New Jersey",sp600,2026-04-20T01:14:00+00:00
ADNT,Adient,Consumer Discretionary,"Plymouth, Michigan",sp600,2026-04-20T01:14:00+00:00
ADT,ADT Inc.,Consumer Discretionary,"Boca Raton, Florida",sp600,2026-04-20T01:14:00+00:00
ADUS,Addus HomeCare Corp.,Health Care,"Frisco, Texas",sp600,2026-04-20T01:14:00+00:00
AEO,American Eagle Outfitters,Consumer Discretionary,"Pittsburgh, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
AESI,"Atlas Energy Solutions, Inc.",Energy,"Austin, Texas",sp600,2026-04-20T01:14:00+00:00
AGO,Assured Guaranty Ltd.,Financials,"Hamilton, Bermuda",sp600,2026-04-20T01:14:00+00:00
AGX,"Argan, Inc.",Industrials,"Arlington County, Virginia",sp600,2026-04-20T01:14:00+00:00
AGYS,"Agilysys, Inc.",Information Technology,"Alpharetta, Georgia",sp600,2026-04-20T01:14:00+00:00
AHCO,AdaptHealth Corp.,Health Care,"Plymouth Meeting, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
AIN,Albany International Corp.,Industrials,"Rochester, New Hampshire",sp600,2026-04-20T01:14:00+00:00
AIR,AAR CORP.,Industrials,"Wood Dale, Illinois",sp600,2026-04-20T01:14:00+00:00
AKR,Acadia Realty Trust,Real Estate,"Rye, New York",sp600,2026-04-20T01:14:00+00:00
ALG,Alamo Group,Industrials,"Seguin, Texas",sp600,2026-04-20T01:14:00+00:00
ALGT,Allegiant Travel Company,Industrials,"Summerlin, Nevada",sp600,2026-04-20T01:14:00+00:00
ALKS,Alkermes plc,Health Care,"Dublin, Ireland",sp600,2026-04-20T01:14:00+00:00
ALRM,"Alarm.Com, Inc.",Financials,"Tysons, Virginia",sp600,2026-04-20T01:14:00+00:00
AMN,"Amn Healthcare Services, Inc.",Health Care,"Dallas, Texas",sp600,2026-04-20T01:14:00+00:00
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,"Rancho Cucamonga, California",sp600,2026-04-20T01:14:00+00:00
AMR,"Alpha Metallurgical Resources, Inc.",Materials,"Bristol, Tennessee",sp600,2026-04-20T01:14:00+00:00
AMRX,Amneal Pharmaceuticals,Health Care,"Bridgewater Township, New Jersey",sp600,2026-04-20T01:14:00+00:00
AMSF,"Amerisafe, Inc.",Financials,"DeRidder, Louisiana",sp600,2026-04-20T01:14:00+00:00
AMTM,Amentum,Industrials,"Chantilly, Virginia",sp600,2026-04-20T01:14:00+00:00
AMWD,American Woodmark Corp.,Industrials,"Winchester, Virginia",sp600,2026-04-20T01:14:00+00:00
ANDE,"The Andersons, Inc.",Consumer Staples,"Maumee, Ohio",sp600,2026-04-20T01:14:00+00:00
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,"Baudette, Minnesota",sp600,2026-04-20T01:14:00+00:00
AORT,Artivion,Health Care,"Kennesaw, Georgia",sp600,2026-04-20T01:14:00+00:00
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,"Sunnyvale, California",sp600,2026-04-20T01:14:00+00:00
APAM,"Artisan Partners Asset Management, Inc.",Financials,"Milwaukee, Wisconsin",sp600,2026-04-20T01:14:00+00:00
APLE,"Apple Hospitality REIT, Inc.",Real Estate,"Richmond, Virginia",sp600,2026-04-20T01:14:00+00:00
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,"Waltham, Massachusetts",sp600,2026-04-20T01:14:00+00:00
APOG,"Apogee Enterprises, Inc.",Industrials,"Minneapolis, Minnesota",sp600,2026-04-20T01:14:00+00:00
ARCB,ArcBest Corp.,Industrials,"Fort Smith, Arkansas",sp600,2026-04-20T01:14:00+00:00
ARI,Apollo Commercial Real Estate Finance,Real Estate,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
ARLO,Arlo Technologies,Information Technology,"San Jose, California",sp600,2026-04-20T01:14:00+00:00
AROC,"Archrock, Inc.",Energy,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
ARR,Armour Residential REIT,Real Estate,"Vero Beach, Florida",sp600,2026-04-20T01:14:00+00:00
ASGN,ASGN Inc.,Information Technology,"Glen Allen, Virginia",sp600,2026-04-20T01:14:00+00:00
ASO,Academy Sports + Outdoors,Consumer Discretionary,"Harris County, Texas",sp600,2026-04-20T01:14:00+00:00
ASTE,"Astec Industries, Inc.",Industrials,"Chattanooga, Tennessee",sp600,2026-04-20T01:14:00+00:00
ASTH,"Astrana Health, Inc.",Health Care,"Alhambra, California",sp600,2026-04-20T01:14:00+00:00
ATEN,"A10 Networks, Inc.",Information Technology,"San Jose, California",sp600,2026-04-20T01:14:00+00:00
ATMU,Atmus Filtration Technologies Inc.,Industrials,"Nashville, Tennessee",sp600,2026-04-20T01:14:00+00:00
AUB,"Atlantic Union Bankshares, Corp.",Financials,"Richmond, Virginia",sp600,2026-04-20T01:14:00+00:00
AVA,Avista Corporation,Utilities,"Spokane, Washington",sp600,2026-04-20T01:14:00+00:00
AVNS,"Avanos Medical, Inc.",Health Care,"Alpharetta, Georgia",sp600,2026-04-20T01:14:00+00:00
AWI,"Armstrong World Industries, Inc.",Industrials,"Lancaster, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
AWR,American States Water Company,Utilities,"San Dimas, California",sp600,2026-04-20T01:14:00+00:00
AX,"Axos Financial, Inc.",Financials,"Las Vegas, Nevada",sp600,2026-04-20T01:14:00+00:00
AZTA,"Azenta, Inc.",Health Care,"Chelmsford, Massachusetts",sp600,2026-04-20T01:14:00+00:00
AZZ,"AZZ, Inc.",Industrials,"Fort Worth, Texas",sp600,2026-04-20T01:14:00+00:00
BANC,"Banc Of California, Inc.",Financials,"Santa Ana, California",sp600,2026-04-20T01:14:00+00:00
BANF,Bancfirst Corp,Financials,"Oklahoma City, Oklahoma",sp600,2026-04-20T01:14:00+00:00
BANR,Banner Corporation,Financials,"Walla Walla, Washington",sp600,2026-04-20T01:14:00+00:00
BBT,Beacon Financial Corp.,Financials,"Boston, Massachusetts",sp600,2026-04-20T01:14:00+00:00
BCC,Boise Cascade,Industrials,"Boise, Idaho",sp600,2026-04-20T01:14:00+00:00
BCPC,Balchem Corporation,Materials,"Montvale, New Jersey",sp600,2026-04-20T01:14:00+00:00
BFH,"Bread Financial Holdings, Inc.",Financials,"Columbus, Ohio",sp600,2026-04-20T01:14:00+00:00
BFS,"Saul Centers, Inc.",Real Estate,"Bethesda, Maryland",sp600,2026-04-20T01:14:00+00:00
BGC,"BGC Group, Inc.",Financials,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
BHE,"Benchmark Electronics, Inc.",Information Technology,"Tempe, Arizona",sp600,2026-04-20T01:14:00+00:00
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,"Huntington Beach, California",sp600,2026-04-20T01:14:00+00:00
BKE,"The Buckle, Inc.",Consumer Discretionary,"Kearney, Nebraska",sp600,2026-04-20T01:14:00+00:00
BKU,"BankUnited, Inc.",Financials,"Miami Lakes, Florida",sp600,2026-04-20T01:14:00+00:00
BL,"BlackLine Systems, Inc.",Information Technology,"Los Angeles, California",sp600,2026-04-20T01:14:00+00:00
BLFS,"BioLife Solutions, Inc.",Health Care,"Bothell, Washington",sp600,2026-04-20T01:14:00+00:00
BMI,"Badger Meter, Inc.",Information Technology,"Milwaukee, Wisconsin",sp600,2026-04-20T01:14:00+00:00
BNL,"Broadstone Net Lease, Inc.",Real Estate,"Victor, New York",sp600,2026-04-20T01:14:00+00:00
BOH,Bank of Hawaii,Financials,"Honolulu, Hawaii",sp600,2026-04-20T01:14:00+00:00
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,"Irvine, California",sp600,2026-04-20T01:14:00+00:00
BOX,"Box, Inc.",Information Technology,"Redwood City, California",sp600,2026-04-20T01:14:00+00:00
BRC,Brady Corporation,Industrials,"Milwaukee, Wisconsin",sp600,2026-04-20T01:14:00+00:00
BTSG,"BrightSpring Health Services, Inc.",Health Care,"Louisville, Kentucky",sp600,2026-04-20T01:14:00+00:00
BTU,"Peabody Energy, Inc.",Energy,"St. Louis, Missouri",sp600,2026-04-20T01:14:00+00:00
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
CABO,Cable One,Communication Services,"Phoenix, Arizona",sp600,2026-04-20T01:14:00+00:00
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,"Calabasas, California",sp600,2026-04-20T01:14:00+00:00
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,"Jackson, Mississippi",sp600,2026-04-20T01:14:00+00:00
CALX,Calix,Information Technology,"San Jose, California",sp600,2026-04-20T01:14:00+00:00
CALY,Callaway Golf Company,Consumer Discretionary,"Carlsbad, California",sp600,2026-04-20T01:14:00+00:00
CARG,CarGurus,Communication Services,"Cambridge, Massachusetts",sp600,2026-04-20T01:14:00+00:00
CASH,"Pathward Financial, Inc.",Financials,"Sioux Falls, South Dakota",sp600,2026-04-20T01:14:00+00:00
CATY,Cathay General Bancorp,Financials,"Los Angeles, California",sp600,2026-04-20T01:14:00+00:00
CBRL,Cracker Barrel,Consumer Discretionary,"Lebanon, Tennessee",sp600,2026-04-20T01:14:00+00:00
CBU,"Community Bank System, Inc.",Financials,"DeWitt, New York",sp600,2026-04-20T01:14:00+00:00
CC,Chemours,Materials,"Wilmington, Delaware",sp600,2026-04-20T01:14:00+00:00
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,"Washington, D.C.",sp600,2026-04-20T01:14:00+00:00
CCS,"Century Communities, Inc.",Consumer Discretionary,"Greenwood Village, Colorado",sp600,2026-04-20T01:14:00+00:00
CE,Celanese,Materials,"Irving, Texas",sp600,2026-04-20T01:14:00+00:00
CENT,Central Garden & Pet Company,Consumer Staples,"Walnut Creek, California",sp600,2026-04-20T01:14:00+00:00
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,"Walnut Creek, California",sp600,2026-04-20T01:14:00+00:00
CENX,Century Aluminum Company,Materials,"Chicago, Illinois",sp600,2026-04-20T01:14:00+00:00
CERT,"Certara, Inc.",Health Care,"Princeton, New Jersey",sp600,2026-04-20T01:14:00+00:00
CFFN,Capitol Federal Savings Bank,Financials,"Topeka, Kansas",sp600,2026-04-20T01:14:00+00:00
CHCO,City Holding Company,Financials,"Charleston, West Virginia",sp600,2026-04-20T01:14:00+00:00
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,"Ridgefield, Connecticut",sp600,2026-04-20T01:14:00+00:00
CLB,Core Laboratories,Energy,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
CLSK,"CleanSpark, Inc.",Information Technology,"Henderson, Nevada",sp600,2026-04-20T01:14:00+00:00
CNK,"Cinemark Holdings, Inc.",Communication Services,"Plano, Texas",sp600,2026-04-20T01:14:00+00:00
CNMD,CONMED Corporation,Health Care,"Largo, Florida",sp600,2026-04-20T01:14:00+00:00
CNR,"Core Natural Resources, Inc.",Energy,"Cecil Township, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
CNS,"Cohen & Steers, Inc.",Financials,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
CNXN,"PC Connection, Inc.",Information Technology,"Merrimack, New Hampshire",sp600,2026-04-20T01:14:00+00:00
COCO,The Vita Coco Company,Consumer Staples,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
COHU,"Cohu, Inc.",Information Technology,"Poway, California",sp600,2026-04-20T01:14:00+00:00
COLL,"Collegium Pharmaceutical, Inc.",Health Care,"Stoughton, Massachusetts",sp600,2026-04-20T01:14:00+00:00
CON,"Concentra Group Holdings Parent, Inc.",Health Care,"Mechanicsburg, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
CORT,Corcept Therapeutics Incorporated,Health Care,"Menlo Park, California",sp600,2026-04-20T01:14:00+00:00
CPF,Central Pacific Financial Corp.,Financials,"Honolulu, Hawaii",sp600,2026-04-20T01:14:00+00:00
CPK,Chesapeake Utilities Corp.,Utilities,"Dover, Delaware",sp600,2026-04-20T01:14:00+00:00
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,"Coral Gables, Florida",sp600,2026-04-20T01:14:00+00:00
CRC,California Resources Corporation,Energy,"Los Angeles, California",sp600,2026-04-20T01:14:00+00:00
CRGY,Crescent Energy Company,Energy,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
CRI,"Carter's, Inc.",Consumer Discretionary,"Atlanta, Georgia",sp600,2026-04-20T01:14:00+00:00
CRK,"Comstock Resources, Inc.",Energy,"Frisco, Texas",sp600,2026-04-20T01:14:00+00:00
CRSR,Corsair Gaming,Information Technology,"Milpitas, California",sp600,2026-04-20T01:14:00+00:00
CRVL,CorVel Corporation,Health Care,"Irvine, California",sp600,2026-04-20T01:14:00+00:00
CSGS,"CSG Systems International, Inc.",Industrials,"Greenwood Village, Colorado",sp600,2026-04-20T01:14:00+00:00
CSR,Centerspace Trust,Real Estate,"Minot, North Dakota",sp600,2026-04-20T01:14:00+00:00
CSW,"CSW Industrials, Inc.",Industrials,"Dallas, Texas",sp600,2026-04-20T01:14:00+00:00
CTKB,"Cytek Biosciences, Inc.",Health Care,"Fremont, California",sp600,2026-04-20T01:14:00+00:00
CTS,CTS Corporation,Information Technology,"Lisle, Illinois",sp600,2026-04-20T01:14:00+00:00
CUBI,"Customers Bancorp, Inc.",Financials,"Reading, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
CURB,Curbline Properties Corp.,Real Estate,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
CVBF,CVB Financial Corp.,Financials,"Ontario, California",sp600,2026-04-20T01:14:00+00:00
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,"Phoenix, Arizona",sp600,2026-04-20T01:14:00+00:00
CVI,"CVR Energy, Inc.",Energy,"Sugar Land, Texas",sp600,2026-04-20T01:14:00+00:00
CVSA,Covista Inc.,Consumer Discretionary,"Chicago, Illinois",sp600,2026-04-20T01:14:00+00:00
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,"Princeton, New Jersey",sp600,2026-04-20T01:14:00+00:00
CWEN.A,"Clearway Energy, Inc. (Class A)",Utilities,"Princeton, New Jersey",sp600,2026-04-20T01:14:00+00:00
CWK,Cushman & Wakefield plc,Real Estate,"Chicago, Illinois",sp600,2026-04-20T01:14:00+00:00
CWST,"Casella Waste Systems, Inc.",Industrials,"Rutland, Vermont",sp600,2026-04-20T01:14:00+00:00
CWT,California Water Service Group,Utilities,"San Jose, California",sp600,2026-04-20T01:14:00+00:00
CXM,"Sprinklr, Inc.",Information Technology,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
CXW,CoreCivic,Industrials,"Brentwood, Tennessee",sp600,2026-04-20T01:14:00+00:00
CZR,Caesars Entertainment,Consumer Discretionary,"Reno, Nevada",sp600,2026-04-20T01:14:00+00:00
DAN,Dana Incorporated,Consumer Discretionary,"Maumee, Ohio",sp600,2026-04-20T01:14:00+00:00
DBD,Diebold Nixdorf,Information Technology,"North Canton, Ohio",sp600,2026-04-20T01:14:00+00:00
DCH,Dauch Corporation,Consumer Discretionary,"Detroit, Michigan",sp600,2026-04-20T01:14:00+00:00
DCOM,"Dime Community Bancshares, Inc.",Financials,"Hauppauge, New York",sp600,2026-04-20T01:14:00+00:00
DEA,"Easterly Government Properties, Inc.",Real Estate,"Washington, D.C.",sp600,2026-04-20T01:14:00+00:00
DEI,Douglas Emmett,Real Estate,"Santa Monica, California",sp600,2026-04-20T01:14:00+00:00
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,"Jacksonville, Florida",sp600,2026-04-20T01:14:00+00:00
DFIN,"Donnelley Financial Solutions, Inc.",Financials,"Chicago, Illinois",sp600,2026-04-20T01:14:00+00:00
DGII,Digi International Inc.,Information Technology,"Hopkins, Minnesota",sp600,2026-04-20T01:14:00+00:00
DIOD,Diodes Incorporated,Information Technology,"Plano, Texas",sp600,2026-04-20T01:14:00+00:00
DLX,Deluxe Corporation,Industrials,"Minneapolis, Minnesota",sp600,2026-04-20T01:14:00+00:00
DNOW,NOW Inc,Industrials,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
