symbol,name,sector,hq,tier,fetched_at
DORM,"Dorman Products, Inc.",Consumer Discretionary,"Colmar, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
DRH,DiamondRock Hospitality Company,Real Estate,"Bethesda, Maryland",sp600,2026-04-20T01:14:00+00:00
DV,"DoubleVerify Holdings, Inc.",Communication Services,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
DXC,DXC Technology,Information Technology,"Ashburn, Virginia",sp600,2026-04-20T01:14:00+00:00
DXPE,"DXP Enterprises, Inc.",Industrials,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
EAT,"Brinker International, Inc.",Consumer Discretionary,"Dallas, Texas",sp600,2026-04-20T01:14:00+00:00
ECG,"Everus Construction Group, Inc.",Industrials,"Bismarck, North Dakota",sp600,2026-04-20T01:14:00+00:00
ECPG,"Encore Capital Group, Inc.",Financials,"San Diego, California",sp600,2026-04-20T01:14:00+00:00
EFC,"Ellington Financial, Inc.",Financials,"Greenwich, Connecticut",sp600,2026-04-20T01:14:00+00:00
EGBN,Eagle Bancorp Inc,Financials,"Bethesda, Maryland",sp600,2026-04-20T01:14:00+00:00
EIG,"Employers Holdings, Inc.",Financials,"Henderson, Nevada",sp600,2026-04-20T01:14:00+00:00
EMBC,Embecta Corp.,Health Care,"Parsippany, New Jersey",sp600,2026-04-20T01:14:00+00:00
EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",sp600,2026-04-20T01:14:00+00:00
ENOV,Enovis,Health Care,"Wilmington, Delaware",sp600,2026-04-20T01:14:00+00:00
ENPH,Enphase Energy,Information Technology,"Fremont, California",sp600,2026-04-20T01:14:00+00:00
ENR,Energizer,Consumer Staples,"St. Louis, Missouri",sp600,2026-04-20T01:14:00+00:00
ENVA,"Enova International, Inc.",Financials,"Chicago, Illinois",sp600,2026-04-20T01:14:00+00:00
EPAC,Enerpac Tool Group,Industrials,"Menomonee Falls, Wisconsin",sp600,2026-04-20T01:14:00+00:00
EPC,Edgewell Personal Care,Consumer Staples,"Shelton, Connecticut",sp600,2026-04-20T01:14:00+00:00
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,"Princeton, New Jersey",sp600,2026-04-20T01:14:00+00:00
ESE,ESCO Technologies Inc.,Industrials,"St. Louis, Missouri",sp600,2026-04-20T01:14:00+00:00
ESI,Element Solutions,Materials,"Fort Lauderdale, Florida",sp600,2026-04-20T01:14:00+00:00
ETD,"Ethan Allen Interiors, Inc.",Consumer Discretionary,"Danbury, Connecticut",sp600,2026-04-20T01:14:00+00:00
ETSY,Etsy,Consumer Discretionary,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
EVTC,"EVERTEC, Inc.",Financials,"San Juan, Puerto Rico",sp600,2026-04-20T01:14:00+00:00
EXPI,"eXp World Holdings, Inc.",Real Estate,"Bellingham, Washington",sp600,2026-04-20T01:14:00+00:00
EXTR,"Extreme Networks, Inc.",Information Technology,"Morrisville, North Carolina",sp600,2026-04-20T01:14:00+00:00
EYE,National Vision Holdings,Consumer Discretionary,"Duluth, Georgia",sp600,2026-04-20T01:14:00+00:00
EZPW,"EZCORP, Inc.",Financials,"Austin, Texas",sp600,2026-04-20T01:14:00+00:00
FBK,FB Financial Corp.,Financials,"Nashville, Tennessee",sp600,2026-04-20T01:14:00+00:00
FBNC,First Bancorp (Southern Pines NC),Financials,"Southern Pines, North Carolina",sp600,2026-04-20T01:14:00+00:00
FBP,First BanCorp (Puerto Rico),Financials,"San Juan, Puerto Rico",sp600,2026-04-20T01:14:00+00:00
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
FCF,"First Commonwealth Financial, Corp.",Financials,"Indiana, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
FCPT,"Four Corners Property Trust, Inc.",Real Estate,"Mill Valley, California",sp600,2026-04-20T01:14:00+00:00
FDP,"Fresh Del Monte Produce, Inc.",Consumer Staples,"Coral Gables, Florida",sp600,2026-04-20T01:14:00+00:00
FELE,Franklin Electric,Industrials,"Fort Wayne, Indiana",sp600,2026-04-20T01:14:00+00:00
FFBC,First Financial Bancorp.,Financials,"Cincinnati, Ohio",sp600,2026-04-20T01:14:00+00:00
FHB,"First Hawaiian, Inc.",Financials,"Honolulu, Hawaii",sp600,2026-04-20T01:14:00+00:00
FIBK,"First Interstate BancSystem, Inc.",Financials,"Billings, Montana",sp600,2026-04-20T01:14:00+00:00
FIZZ,National Beverage Corp.,Consumer Staples,"Fort Lauderdale, Florida",sp600,2026-04-20T01:14:00+00:00
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
FORM,"FormFactor, Inc.",Information Technology,"Livermore, California",sp600,2026-04-20T01:14:00+00:00
FOXF,Fox Factory,Consumer Discretionary,"Duluth, Georgia",sp600,2026-04-20T01:14:00+00:00
FRPT,Freshpet,Consumer Staples,"Bedminster, New Jersey",sp600,2026-04-20T01:14:00+00:00
FSS,Federal Signal Corporation,Industrials,"Oak Brook, Illinois",sp600,2026-04-20T01:14:00+00:00
FTDR,"Frontdoor, Inc.",Consumer Discretionary,"Memphis, Tennessee",sp600,2026-04-20T01:14:00+00:00
FTRE,Fortrea,Health Care,"Durham, North Carolina",sp600,2026-04-20T01:14:00+00:00
FUL,H.B. Fuller Company,Materials,"Vadnais Heights, Minnesota",sp600,2026-04-20T01:14:00+00:00
FULT,Fulton Financial Corporation,Financials,"Lancaster, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
FUN,Six Flags,Consumer Discretionary,"Charlotte, North Carolina",sp600,2026-04-20T01:14:00+00:00
FWRD,Forward Air Corp.,Industrials,"Greeneville, Tennessee",sp600,2026-04-20T01:14:00+00:00
GBX,"The Greenbrier Companies, Inc.",Industrials,"Lake Oswego, Oregon",sp600,2026-04-20T01:14:00+00:00
GDEN,Golden Entertainment,Consumer Discretionary,"Enterprise, Nevada",sp600,2026-04-20T01:14:00+00:00
GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,"San Ramon, California",sp600,2026-04-20T01:14:00+00:00
GEO,"GEO Group, Inc.",Industrials,"Boca Raton, Florida",sp600,2026-04-20T01:14:00+00:00
GFF,Griffon Corporation,Industrials,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
GKOS,Glaukos Corp.,Health Care,"San Clemente, California",sp600,2026-04-20T01:14:00+00:00
GNL,"Global Net Lease, Inc.",Real Estate,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
GNW,"Genworth Financial, Inc.",Financials,"Henrico County, Virginia",sp600,2026-04-20T01:14:00+00:00
GO,Grocery Outlet,Consumer Staples,"Emeryville, California",sp600,2026-04-20T01:14:00+00:00
GOGO,"Gogo, Inc.",Communication Services,"Broomfield, Colorado",sp600,2026-04-20T01:14:00+00:00
GOLF,Acushnet Company,Consumer Discretionary,"Fairhaven, Massachusetts",sp600,2026-04-20T01:14:00+00:00
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,"Plano, Texas",sp600,2026-04-20T01:14:00+00:00
GSHD,"Goosehead Insurance, Inc.",Financials,"Westlake, Texas",sp600,2026-04-20T01:14:00+00:00
GTES,Gates Corporation,Industrials,"Denver, Colorado",sp600,2026-04-20T01:14:00+00:00
GTM,ZoomInfo,Communication Services,"Vancouver, Washington",sp600,2026-04-20T01:14:00+00:00
GTY,Getty Realty Corp.,Real Estate,"New York City, New York",sp600,2026-04-20T01:14:00+00:00
GVA,"Granite Construction, Inc.",Industrials,"Watsonville, California",sp600,2026-04-20T01:14:00+00:00
HAFC,Hanmi Financial Corporation,Financials,"Los Angeles, California",sp600,2026-04-20T01:14:00+00:00
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,"Annapolis, Maryland",sp600,2026-04-20T01:14:00+00:00
HAYW,"Hayward Holdings, Inc.",Industrials,"Charlotte, North Carolina",sp600,2026-04-20T01:14:00+00:00
HCC,"Warrior Met Coal, Inc.",Materials,"Brookwood, Alabama",sp600,2026-04-20T01:14:00+00:00
HCI,"HCI Group, Inc.",Financials,"Tampa, Florida",sp600,2026-04-20T01:14:00+00:00
HCSG,"Healthcare Services Group, Inc.",Industrials,"Bensalem Township, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
HE,"Hawaiian Electric Industries, Inc.",Utilities,"Honolulu, Hawaii",sp600,2026-04-20T01:14:00+00:00
HFWA,Heritage Financial Corporation,Health Care,"Olympia, Washington",sp600,2026-04-20T01:14:00+00:00
HIW,Highwoods Properties,Real Estate,"Raleigh, North Carolina",sp600,2026-04-20T01:14:00+00:00
HLIT,Harmonic Inc.,Information Technology,"San Jose, California",sp600,2026-04-20T01:14:00+00:00
HLX,"Helix Energy Solutions Group, Inc.",Energy,"Houston, Texas",sp600,2026-04-20T01:14:00+00:00
HMN,Horace Mann Educators Corporation,Financials,"Springfield, Illinois",sp600,2026-04-20T01:14:00+00:00
HNI,HNI Corporation,Industrials,"Muscatine, Iowa",sp600,2026-04-20T01:14:00+00:00
HOPE,"Hope Bancorp, Inc.",Financials,"Los Angeles, California",sp600,2026-04-20T01:14:00+00:00
HP,"Helmerich & Payne, Inc.",Energy,"Tulsa, Oklahoma",sp600,2026-04-20T01:14:00+00:00
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,"Plymouth Meeting, Pennsylvania",sp600,2026-04-20T01:14:00+00:00
HSTM,"HealthStream, Inc.",Health Care,"Nashville, Tennessee",sp600,2026-04-20T01:14:00+00:00
HTH,Hilltop Holdings Inc.,Financials,"Dallas, Texas",sp600,2026-04-20T01:14:00+00:00
